number,name,status
Structural Pattern Matching: Motivation and Rationale,PEP 635,Final
Reducing CPython’s Feature Delivery Latency,PEP 607,Final
Annual Release Cycle for Python,PEP 602,Accepted
Python 3.8 Release Schedule,PEP 569,Active
Python 3.9 Release Schedule,PEP 596,Active
Refactoring C functions and methods,PEP 579,Final
Python registration in the Windows registry,PEP 514,Active
API for Cryptographic Hash Functions v2.0,PEP 452,Final
The Theory of Type Hints,PEP 483,Final
Literature Overview for Type Hints,PEP 482,Final
Notation For Positional-Only Parameters,PEP 457,Final
IDLE Enhancement Exception for All Branches,PEP 434,Active
Migrating to Python 3 as the default online documentation,PEP 430,Final
The “python” Command on Unix-Like Systems,PEP 394,Active
Pure Python/C Accelerator Module Compatibility Requirements,PEP 399,Final
Backward Compatibility for the Python 2 Standard Library,PEP 291,Final
Python Web Server Gateway Interface v1.0,PEP 333,Final
Code Migration and Modernization,PEP 290,Active
API for Block Encryption Algorithms v1.0,PEP 272,Final
reStructuredText Docstring Format,PEP 287,Active
Docstring Conventions,PEP 257,Active
Python Database API Specification v2.0,PEP 249,Final
API for Cryptographic Hash Functions,PEP 247,Final
Python Database API Specification v1.0,PEP 248,Final
Doing Python Releases 101,PEP 101,Active
The Zen of Python,PEP 20,Active
Python Packaging Authority (PyPA) Governance,PEP 609,Active
PEP Infrastructure Process,PEP 676,Active
Using GitHub Issues for CPython,PEP 581,Accepted
Backwards Compatibility Policy,PEP 387,Active
Python Language Governance,PEP 13,Active
Sample reStructuredText PEP Template,PEP 12,Active
CPython platform support,PEP 11,Active
Voting Guidelines,PEP 10,Active
Style Guide for Python Code,PEP 8,Active
Style Guide for C Code,PEP 7,Active
Guidelines for Language Evolution,PEP 5,Active
Deprecation of Standard Modules,PEP 4,Active
Bug Fix Releases,PEP 6,Active
Procedure for Adding New Modules,PEP 2,Active
